Crypto,Date,Open,High,Low,Close
BTC,11/16/18,5513,5643,5477,5479
BTC,11/15/18,5630,5711,5263,5508
BTC,11/14/18,6330,6342,5406,5630
BTC,11/13/18,6339,6357,6293,6330
BTC,11/12/2018,6339,6407,6334,6339
BTC,11/11/2018,6385,6386,6301,6342
BTC,11/10/2018,6350,6395,6346,6385
BTC,11/09/2018,6440,6446,6332,6351
BTC,11/08/2018,6520,6529,6419,6440
BTC,11/07/2018,6438,6555,6438,6520
BTC,11/06/2018,6417,6467,6402,6438
BTC,11/05/2018,6431,6455,6389,6417
BTC,11/04/2018,6351,6473,6328,6431
BTC,11/03/2018,6371,6376,6322,6351
BTC,11/02/2018,6351,6396,6348,6371
BTC,11/01/2018,6319,6354,6311,6351
BTC,10/31/18,6282,6359,6216,6319
BTC,10/30/18,6265,6312,6257,6281
BTC,10/29/18,6414,6437,6244,6265
BTC,10/28/18,6425,6436,6402,6414
BTC,10/27/18,6437,6454,6412,6424
BTC,10/26/18,6436,6484,6416,6437
BTC,10/25/18,6462,6465,6414,6437
BTC,10/24/18,6434,6500,6429,6462
BTC,10/23/18,6454,6458,6404,6434
BTC,10/22/18,6483,6483,6416,6455
BTC,10/21/18,6448,6502,6443,6483
BTC,10/20/18,6417,6466,6404,6448
BTC,10/19/18,6446,6467,6409,6417
BTC,10/18/18,6509,6553,6428,6446
BTC,10/17/18,6521,6558,6477,6509
BTC,10/16/18,6469,6591,6452,6522
BTC,10/15/18,6251,6961,6189,6469
BTC,10/14/18,6221,6303,6221,6251
BTC,10/13/18,6241,6246,6203,6221
BTC,10/12/2018,6228,6264,6142,6241
BTC,10/11/2018,6559,6559,6126,6226
BTC,10/10/2018,6596,6614,6464,6559
BTC,10/09/2018,6640,6642,6567,6596
BTC,10/08/2018,6543,6672,6541,6640
BTC,10/07/2018,6563,6569,6506,6543
BTC,10/06/2018,6551,6654,6542,6562
BTC,10/05/2018,6556,6589,6525,6551
BTC,10/04/2018,6448,6595,6423,6556
BTC,10/03/2018,6532,6545,6410,6448
BTC,10/02/2018,6556,6600,6468,6532
BTC,10/01/2018,6564,6643,6501,6556
BTC,9/30/18,6581,6639,6528,6562
BTC,9/29/18,6646,6652,6467,6580
BTC,9/28/18,6696,6794,6536,6646
BTC,9/27/18,6501,6731,6432,6696
BTC,9/26/18,6387,6540,6373,6501
BTC,9/25/18,6625,6630,6334,6392
BTC,9/24/18,6677,6719,6576,6628
BTC,9/23/18,6717,6768,6664,6677
BTC,9/22/18,6717,6824,6631,6717
BTC,9/21/18,6378,6777,6362,6717
BTC,9/20/18,6425,6450,6352,6373
BTC,9/19/18,6318,6494,6117,6425
BTC,9/18/18,6219,6382,6216,6316
BTC,9/17/18,6501,6529,6211,6221
BTC,9/16/18,6532,6532,6383,6501
BTC,9/15/18,6537,6567,6353,6532
BTC,9/14/18,6467,6580,6415,6537
BTC,9/13/18,6308,6524,6298,6467
BTC,09/12/2018,6253,6332,6204,6308
BTC,09/11/2018,6302,6391,6190,6254
BTC,09/10/2018,6387,6390,6216,6300
BTC,09/09/2018,6173,6438,6157,6387
BTC,09/08/2018,6447,6466,6120,6173
BTC,09/07/2018,6444,6531,6330,6445
BTC,09/06/2018,6952,6981,6279,6444
BTC,09/05/2018,7363,7387,6866,6948
BTC,09/04/2018,7299,7404,7237,7363
BTC,09/03/2018,7282,7325,7198,7299
BTC,09/02/2018,7195,7328,7137,7282
BTC,09/01/2018,7043,7260,7003,7195
BTC,8/31/18,6913,7084,6899,7044
BTC,8/30/18,7039,7064,6801,6911
BTC,8/29/18,7082,7120,6922,7039
BTC,8/28/18,6721,7125,6715,7082
BTC,8/27/18,6678,6750,6658,6721
BTC,8/26/18,6719,6774,6579,6677
BTC,8/25/18,6612,6934,6611,6720
BTC,8/24/18,6419,6643,6419,6612
BTC,8/23/18,6334,6482,6257,6419
